"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","FPts","FP/G","%D","ADP","Ros","+/-"
"*04lch*","Xavier Bouchard","(N/A)","D","1477","FA","25","100","Rachat","0","0","0","-","0%","0%"
"*05zmb*","Evan Boucher","(N/A)","F","1478","FA","23","100","Rachat","0","0","0","-","0%","0%"
"*04l7j*","Jordan Boucher","(N/A)","F","1479","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*045ck*","Matthew Boucher","(N/A)","F","1480","FA","28","100","Rachat","0","0","0","-","0%","0%"
"*05rj7*","Tyrell Boucher","(N/A)","D","1483","FA","26","100","Rachat","0","0","0","-","0%","0%"
"*05xw3*","Louis Boudon","MIN","F","1484","FA","27","100","Rachat","0","0","0","-","0%","0%"
"*01d6d*","Marc-Andre Bourdon","(N/A)","D","1490","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*02npx*","Troy Bourke","(N/A)","F","1492","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*066sw*","Daniil Bourosh","(N/A)","F","1494","FA","21","100","Rachat","0","0","0","-","0%","0%"
"*004c0*","Chris Bourque","(N/A)","F","1495","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*004nd*","Alex Bourret","(N/A)","F","1501","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*02g20*","Gabriel Bourret","(N/A)","D","1502","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*038ig*","Etienne Boutet","(N/A)","D","1503","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*004k4*","Jonathan Boutin","(N/A)","G","1505","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*03ynt*","Parker Bowles","(N/A)","F","1510","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*00u81*","Drayson Bowman","(N/A)","F","1511","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*05t9b*","Nikita Boyarkin","(N/A)","G","1512","FA","27","100","Rachat","0","0","0","-","0%","0%"
"*0049k*","Darryl Boyce","(N/A)","F","1513","FA","41","100","Rachat","0","0","0","-","0%","0%"
"*029jb*","Jeremy Boyce-Rotevall","(N/A)","F","1514","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*01zsg*","Riley Boychuk","(N/A)","F","1515","FA","34","100","Rachat","0","0","0","-","0%","0%"
"*003ho*","Dustin Boyd","(N/A)","F","1518","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*01zrl*","R.J. Boyd","(N/A)","D","1519","FA","34","100","Rachat","0","0","0","-","0%","0%"
"*01mw0*","Daryl Boyle","STL","D","1524","FA","38","100","Rachat","0","0","0","-","0%","0%"
"*02o79*","Timothy Boyle","OTT","D","1526","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*02npp*","Tim Bozon","(N/A)","F","1528","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*070gv*","Donato Bracco","(N/A)","D","1530","FA","18","100","Rachat","0","0","0","-","0%","0%"
"*03cz8*","Cameron Brace","(N/A)","F","1532","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*038oi*","Riley Brace","(N/A)","F","1533","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*02g1m*","Brock Bradford","BOS","F","1534","FA","38","100","Rachat","0","0","0","-","0%","0%"
"*03i5s*","Erik Bradford","(N/A)","F","1535","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*048ta*","Cody Bradley","(N/A)","F","1537","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*03jfw*","Ian Brady","(N/A)","D","1541","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*038k1*","Chance Braid","WSH","F","1542","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*0484q*","MacKenzie Braid","(N/A)","D","1543","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*065pg*","Linus Brandl","(N/A)","F","1544","FA","20","100","Rachat","0","0","0","-","0%","0%"
"*05yjd*","Marcel Brandt","(N/A)","F,D","1545","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*03oal*","Eric Brassard","(N/A)","G","1549","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*02z7a*","Brady Brassart","(N/A)","F","1552","FA","32","100","Rachat","0","0","0","-","0%","0%"
"*065jr*","Filip Bratt","(N/A)","D","1553","FA","23","100","Rachat","0","0","0","-","0%","0%"
"*05o6i*","Timo Braus","(N/A)","F","1555","FA","25","100","Rachat","0","0","0","-","0%","0%"
"*01uom*","Chris Breen","BOS","D","1556","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*06lo3*","Lynden Breen","WSH","F","1557","FA","24","100","Rachat","0","0","0","-","0%","0%"
"*005b1*","Mike Brennan","COL","D","1558","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*02673*","Tyler Brenner","(N/A)","F","1561","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*0597p*","Alex Breton","(N/A)","D","1562","FA","28","100","Rachat","0","0","0","-","0%","0%"
"*03n0g*","Drew Brevig","(N/A)","D","1563","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*05994*","Mitchell Brewer","SJS","D","1564","FA","24","100","Rachat","0","0","0","-","0%","0%"
"*02yen*","Bryan Bridges","(N/A)","G","1568","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*05xw4*","Carson Briere","(N/A)","F","1569","FA","26","100","Rachat","0","0","0","-","0%","0%"
"*003rg*","David Brine","(N/A)","F","1571","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*06hj7*","Finn Brink","(N/A)","F","1572","FA","20","100","Rachat","0","0","0","-","0%","0%"
"*02ytu*","Mathieu Brisebois","(N/A)","D","1575","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*03bxk*","Leon Bristedt","(N/A)","F","1577","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*01zs9*","Sam Brittain","COL","G","1579","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*043i8*","Adam Brizgala","(N/A)","G","1580","FA","27","100","Rachat","0","0","0","-","0%","0%"
"*01ofh*","Joel Broda","(N/A)","F","1584","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*03m53*","Adam Brodecki","(N/A)","F","1585","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*02vhc*","Etienne Brodeur","(N/A)","F","1587","FA","34","100","Rachat","0","0","0","-","0%","0%"
"*01met*","Mathieu Brodeur","STL","D","1589","FA","35","100","Rachat","0","0","0","-","0%","0%"
"*060vm*","Easton Brodzinski","(N/A)","F","1594","FA","29","100","Rachat","0","0","0","-","0%","0%"
"*03wqi*","Alec Broetzman","(N/A)","F","1596","FA","28","100","Rachat","0","0","0","-","0%","0%"
"*02aji*","David Broll","(N/A)","F","1597","FA","32","100","Rachat","0","0","0","-","0%","0%"
